Time,Astep,Atime,PWM,Gain,External Temp,External Humidity,620nm #1,670nm #1,470nm #1,510nm #1,550nm #1,583nm #1,620nm #2,670nm #2,470nm #2,510nm #2,550nm #2,583nm #2,Sub Concentration,Total Concentration,MFC#1,MFC#2,MFC#3,MFC#4,MFC#5,dewpoint #1,dewpoint #2,chamber #1,chamber #2
2021-10-18 00:42:48,-1,-1,-1,-1,0.83709716796875,33.9630126953125,24257,5257,4663,9566,11917,18292,65535,23540,15290,41145,61488,53855,3385.32958984375,100.0,0.0,25.0,14.996875,30.003125,0.0,3.7841796875,3.7841796875,0.01,5.99
2021-10-18 00:43:48,-1,-1,-1,-1,0.8295440673828125,33.89434814453125,24261,5260,4661,9564,11918,18303,65535,23545,15291,41164,61509,53835,3385.076904296875,100.0,0.0,24.996875,14.996875,29.996875,0.0,3.8330078125,3.7841796875,0.0,5.98
2021-10-18 00:44:49,-1,-1,-1,-1,0.8270263671875,33.9691162109375,24267,5260,4664,9566,11918,18310,65535,23552,15289,41167,61499,53845,3384.99267578125,100.0,0.0,24.996875,15.0,30.003125,0.0,3.80859375,3.7841796875,-0.01,5.99
2021-10-18 00:45:50,-1,-1,-1,-1,0.8396148681640625,33.90350341796875,24275,5262,4664,9573,11922,18328,65535,23542,15291,41165,61503,53853,3385.413330078125,100.0,0.0,24.996875,15.003125,30.0,0.0,3.7841796875,3.7841796875,0.02,6.0
2021-10-18 00:46:51,-1,-1,-1,-1,0.842132568359375,33.8897705078125,24274,5261,4666,9566,11923,18328,65535,23559,15291,41176,61525,53858,3385.57080078125,100.0,0.0,25.003125,15.003125,30.0,0.0,3.7841796875,3.7841796875,0.01,6.01
2021-10-18 00:47:52,-1,-1,-1,-1,0.8295440673828125,33.92791748046875,24282,5262,4666,9568,11922,18342,65535,23548,15301,41175,61504,53882,3385.076416015625,100.0,0.0,24.996875,15.0,30.0,0.0,3.7841796875,3.7841796875,-0.02,5.99
2021-10-18 00:48:52,-1,-1,-1,-1,0.842132568359375,33.8348388671875,24286,5263,4666,9567,11927,18344,65535,23551,15294,41178,61543,53870,3385.570556640625,100.0,0.0,25.0,15.003125,30.0,0.0,3.7841796875,3.7841796875,0.0,6.01
2021-10-18 00:49:53,-1,-1,-1,-1,0.8345794677734375,33.93402099609375,24280,5259,4663,9564,11921,18342,65535,23554,15288,41159,61514,53857,3385.244873046875,100.0,0.0,25.003125,15.0,30.0,0.0,3.7841796875,3.7841796875,0.0,5.99
2021-10-18 00:50:54,-1,-1,-1,-1,0.811920166015625,33.8470458984375,24286,5261,4665,9566,11926,18354,65535,23545,15290,41168,61492,53855,3384.341796875,100.0,0.0,25.003125,15.003125,30.0,0.0,3.7841796875,3.7841796875,0.0,5.99
2021-10-18 00:51:55,-1,-1,-1,-1,0.8245086669921875,34.03472900390625,24286,5262,4665,9565,11922,18352,65535,23537,15287,41158,61522,53846,3384.908203125,100.0,0.0,24.996875,15.003125,29.996875,0.0,3.7841796875,3.7841796875,-0.02,6.0
