Time,Astep,Atime,PWM,Gain,External Temp,External Humidity,620nm #1,670nm #1,470nm #1,510nm #1,550nm #1,583nm #1,620nm #2,670nm #2,470nm #2,510nm #2,550nm #2,583nm #2,Sub Concentration,Total Concentration,MFC#1,MFC#2,MFC#3,MFC#4,MFC#5,dewpoint #1,dewpoint #2,chamber #1,chamber #2
2021-10-18 00:42:48,-1,-1,-1,-1,0.8043670654296875,38.48419189453125,22944,4033,3876,9071,10773,15379,56862,19078,11979,32919,52121,45402,714.5416870117188,100.0,0.0,25.0,14.996875,30.003125,0.0,3.7841796875,3.7841796875,0.01,5.99
2021-10-18 00:43:48,-1,-1,-1,-1,0.791778564453125,38.34228515625,22937,4033,3875,9068,10772,15384,56833,19076,11980,32917,52132,45406,714.286376953125,100.0,0.0,24.996875,14.996875,29.996875,0.0,3.8330078125,3.7841796875,0.0,5.98
2021-10-18 00:44:49,-1,-1,-1,-1,0.7892608642578125,38.47503662109375,22948,4034,3876,9072,10777,15393,56878,19090,11981,32926,52150,45420,714.2304077148438,100.0,0.0,24.996875,15.0,30.003125,0.0,3.80859375,3.7841796875,-0.01,5.99
2021-10-18 00:45:50,-1,-1,-1,-1,0.806884765625,38.36669921875,22951,4035,3877,9069,10779,15400,56858,19082,11981,32913,52144,45433,714.5975952148438,100.0,0.0,24.996875,15.003125,30.0,0.0,3.7841796875,3.7841796875,0.02,6.0
2021-10-18 00:46:51,-1,-1,-1,-1,0.8043670654296875,38.43841552734375,22952,4034,3876,9069,10775,15395,56870,19075,11979,32920,52139,45418,714.5416259765625,100.0,0.0,25.003125,15.003125,30.0,0.0,3.7841796875,3.7841796875,0.01,6.01
2021-10-18 00:47:52,-1,-1,-1,-1,0.801849365234375,38.4063720703125,22972,4035,3877,9071,10776,15399,56873,19081,11981,32920,52129,45421,714.4917602539062,100.0,0.0,24.996875,15.0,30.0,0.0,3.7841796875,3.7841796875,-0.02,5.99
2021-10-18 00:48:53,-1,-1,-1,-1,0.7892608642578125,38.35601806640625,22961,4036,3878,9071,10781,15398,56875,19082,11983,32922,52151,45447,714.2304077148438,100.0,0.0,25.0,15.003125,30.0,0.0,3.7841796875,3.7841796875,0.0,6.01
2021-10-18 00:49:54,-1,-1,-1,-1,0.811920166015625,38.4033203125,22952,4035,3875,9069,10773,15400,56869,19074,11979,32919,52120,45422,714.697265625,100.0,0.0,25.003125,15.0,30.0,0.0,3.7841796875,3.7841796875,0.0,5.99
2021-10-18 00:50:55,-1,-1,-1,-1,0.8295440673828125,38.35601806640625,22964,4034,3878,9071,10781,15413,56890,19077,11980,32931,52136,45433,715.0680541992188,100.0,0.0,25.0,14.996875,30.00625,0.0,3.7841796875,3.7841796875,0.0,5.99
2021-10-18 00:51:56,-1,-1,-1,-1,0.79681396484375,38.4674072265625,22959,4035,3876,9070,10782,15409,56868,19081,11975,32915,52123,45423,714.3890991210938,100.0,0.0,25.00625,15.003125,30.0,0.0,3.857421875,3.7841796875,-0.02,6.0
