Time,Astep,Atime,PWM,Gain,External Temp,External Humidity,620nm #1,670nm #1,470nm #1,510nm #1,550nm #1,583nm #1,620nm #2,670nm #2,470nm #2,510nm #2,550nm #2,583nm #2,Sub Concentration,Total Concentration,MFC#1,MFC#2,MFC#3,MFC#4,MFC#5,dewpoint #1,dewpoint #2,chamber #1,chamber #2
2021-10-15 19:56:59,-1,-1,-1,-1,0.6281280517578125,37.13836669921875,27305,5204,4882,10234,12671,19892,58280,19600,12368,35361,51842,47349,1.4048938505185616e+22,100.0,0.0,24.99375,15.0,29.996875,0.0,3.7841796875,3.80859375,-0.02,6.0
2021-10-15 19:58:00,-1,-1,-1,-1,0.6256103515625,37.07275390625,27299,5204,4882,10232,12663,19880,58291,19594,12368,35384,51830,47359,1.4003885620413308e+22,100.0,0.0,25.003125,14.996875,30.0,0.0,3.8330078125,3.7841796875,-0.03,5.98
2021-10-15 19:59:01,-1,-1,-1,-1,0.6381988525390625,37.14141845703125,27307,5204,4882,10232,12664,19880,58305,19590,12370,35384,51834,47349,1.4230765710641166e+22,100.0,0.0,24.996875,15.0,30.003125,0.0,3.759765625,3.759765625,0.01,5.99
2021-10-15 20:00:02,-1,-1,-1,-1,0.6658935546875,37.1185302734375,27307,5206,4881,10230,12662,19876,58298,19595,12374,35387,51838,47355,1.4752339968385918e+22,100.0,0.0,24.996875,15.00625,30.0,0.0,3.7841796875,3.7841796875,0.04,5.99
2021-10-15 20:01:02,-1,-1,-1,-1,0.6533050537109375,37.12615966796875,27301,5207,4882,10232,12666,19880,58307,19593,12369,35374,51846,47352,1.4510998819754574e+22,100.0,0.0,25.0,15.003125,30.0,0.0,3.7841796875,3.7841796875,-0.01,5.99
2021-10-15 20:02:03,-1,-1,-1,-1,0.630645751953125,37.1826171875,27309,5205,4882,10234,12666,19880,58284,19596,12370,35369,51829,47350,1.4094243591537056e+22,100.0,0.0,24.99375,15.003125,29.996875,0.0,3.759765625,3.759765625,0.01,5.99
2021-10-15 20:03:03,-1,-1,-1,-1,0.6432342529296875,37.16583251953125,27315,5207,4882,10232,12671,19884,58296,19603,12374,35391,51858,47353,1.4325592378495172e+22,100.0,0.0,25.0,14.996875,30.0,0.0,3.759765625,3.7841796875,0.02,5.99
2021-10-15 20:04:04,-1,-1,-1,-1,0.65582275390625,37.24365234375,27314,5205,4883,10236,12663,19884,58299,19593,12376,35391,51827,47366,1.4560682530843725e+22,100.0,0.0,24.99375,15.0,30.003125,0.0,3.759765625,3.80859375,0.05,5.99
2021-10-15 20:05:05,-1,-1,-1,-1,0.6633758544921875,37.17803955078125,27307,5203,4879,10233,12661,19878,58295,19600,12372,35387,51845,47359,1.4701834350364771e+22,100.0,0.0,25.0,15.0,30.003125,0.0,3.80859375,3.7841796875,0.02,6.0
2021-10-15 20:06:06,-1,-1,-1,-1,0.640716552734375,37.2833251953125,27313,5203,4882,10235,12669,19874,58316,19593,12373,35389,51845,47361,1.4276656264944164e+22,100.0,0.0,24.996875,15.0,30.0,0.0,3.7841796875,3.80859375,-0.03,6.0
2021-10-15 20:07:07,-1,-1,-1,-1,0.6281280517578125,37.22686767578125,27308,5207,4883,10237,12665,19878,58309,19601,12370,35382,51828,47360,1.4049152426167916e+22,100.0,0.0,25.0,15.003125,30.0,0.0,3.7841796875,3.7841796875,0.0,5.98
2021-10-15 20:08:08,-1,-1,-1,-1,0.6256103515625,37.3199462890625,27305,5205,4882,10231,12661,19874,58290,19597,12371,35382,51829,47352,1.4004046624099987e+22,100.0,0.0,25.003125,14.996875,29.996875,0.0,3.7353515625,3.7841796875,0.0,5.99
2021-10-15 20:09:08,-1,-1,-1,-1,0.6381988525390625,37.25433349609375,27312,5205,4882,10234,12662,19884,58301,19591,12369,35390,51845,47351,1.4230765710641166e+22,100.0,0.0,25.0,14.996875,30.003125,0.0,3.7841796875,3.7841796875,0.02,6.0
2021-10-15 20:10:09,-1,-1,-1,-1,0.660858154296875,37.3931884765625,27305,5203,4881,10231,12659,19870,58295,19596,12370,35382,51825,47352,1.465776325031123e+22,100.0,0.0,25.003125,15.0,30.0,0.0,3.759765625,3.7841796875,0.0,5.99
2021-10-15 20:11:10,-1,-1,-1,-1,0.6281280517578125,37.27874755859375,27309,5206,4885,10235,12665,19876,58304,19592,12370,35387,51843,47360,1.4049206469363444e+22,100.0,0.0,24.996875,15.003125,30.0,0.0,3.7841796875,3.7841796875,0.0,5.99
2021-10-15 20:12:11,-1,-1,-1,-1,0.63568115234375,37.371826171875,27297,5202,4882,10230,12662,19866,58283,19595,12361,35389,51832,47343,1.4185129609717113e+22,100.0,0.0,25.00625,15.0,29.996875,0.0,3.7841796875,3.7841796875,0.01,5.99
2021-10-15 20:13:11,-1,-1,-1,-1,0.6230926513671875,37.38250732421875,27313,5202,4881,10227,12666,19874,58283,19582,12365,35377,51837,47358,1.3959190771811377e+22,100.0,0.0,25.003125,14.996875,30.0,0.0,3.7353515625,3.7841796875,-0.01,5.99
2021-10-15 20:14:12,-1,-1,-1,-1,0.63568115234375,37.3779296875,27302,5203,4879,10230,12661,19872,58281,19593,12361,35362,51820,47353,1.4185129609717113e+22,100.0,0.0,25.0,15.0,30.0,0.0,3.7841796875,3.80859375,-0.01,5.99
2021-10-15 20:15:13,-1,-1,-1,-1,0.6432342529296875,37.37640380859375,27305,5201,4882,10232,12660,19870,58284,19600,12369,35379,51835,47354,1.4325537209399737e+22,100.0,0.0,24.996875,15.0,29.996875,0.0,3.7841796875,3.759765625,0.0,5.99
2021-10-15 20:16:14,-1,-1,-1,-1,0.61553955078125,38.568115234375,26843,5088,4862,10269,12409,18818,58291,19592,12369,35383,51832,47341,1.382954677523817e+22,100.0,15.003125,9.996875,14.996875,30.003125,0.0,3.7841796875,3.7841796875,0.0,6.0
2021-10-15 20:17:15,-1,-1,-1,-1,0.6432342529296875,37.78533935546875,26552,5055,4854,10293,12297,18222,58287,19591,12373,35384,51842,47340,1.4338221597750226e+22,100.0,14.996875,10.0,15.003125,29.996875,0.0,3.8818359375,3.7841796875,0.0,5.99
2021-10-15 20:18:15,-1,-1,-1,-1,0.60546875,37.5701904296875,26449,5044,4849,10295,12271,18046,58283,19596,12370,35386,51831,47309,1.3656753790635125e+22,100.0,14.99375,10.0,15.0,30.0,0.0,3.7841796875,3.80859375,-0.01,6.0
2021-10-15 20:19:16,-1,-1,-1,-1,0.6230926513671875,37.59918212890625,26389,5041,4849,10293,12251,17945,58261,19581,12365,35380,51817,47323,1.3973682229512348e+22,100.0,14.996875,10.0,14.996875,29.996875,0.0,3.7841796875,3.7841796875,0.0,5.99
2021-10-15 20:20:17,-1,-1,-1,-1,0.61553955078125,37.554931640625,26358,5039,4847,10297,12243,17876,58284,19597,12372,35385,51811,47319,1.3837621729370044e+22,100.0,15.0,10.003125,14.996875,30.0,0.0,3.7841796875,3.7841796875,0.01,6.0
2021-10-15 20:21:17,-1,-1,-1,-1,0.6381988525390625,37.65106201171875,26334,5036,4846,10296,12237,17836,58281,19588,12365,35376,51825,47319,1.4246788392215443e+22,100.0,14.996875,9.996875,15.0,30.003125,0.0,3.7841796875,3.7841796875,0.03,5.99
2021-10-15 20:22:18,-1,-1,-1,-1,0.640716552734375,37.53662109375,26311,5034,4847,10299,12231,17802,58263,19583,12360,35370,51811,47313,1.429295028839599e+22,100.0,15.003125,10.003125,15.0,29.996875,0.0,3.7841796875,3.7841796875,0.0,5.99
2021-10-15 20:23:19,-1,-1,-1,-1,0.6533050537109375,37.73345947265625,26300,5031,4847,10301,12230,17789,58277,19585,12365,35378,51803,47319,1.4527614850579758e+22,100.0,14.99375,10.0,15.0,30.0,0.0,3.8330078125,3.80859375,-0.03,5.99
2021-10-15 20:24:20,-1,-1,-1,-1,0.630645751953125,37.7105712890625,26299,5033,4847,10302,12239,17764,58292,19597,12370,35391,51828,47324,1.411075941727053e+22,100.0,14.99375,9.996875,14.996875,30.0,0.0,3.7841796875,3.80859375,-0.07,5.99
2021-10-15 20:25:21,-1,-1,-1,-1,0.6180572509765625,37.75177001953125,26276,5033,4848,10303,12233,17764,58290,19591,12366,35395,51829,47320,1.388589919147555e+22,100.0,14.99375,10.0,15.0,30.003125,0.0,3.80859375,3.80859375,-0.03,5.99
2021-10-15 20:26:21,-1,-1,-1,-1,0.6256103515625,37.811279296875,26265,5027,4846,10305,12220,17732,58267,19586,12360,35373,51804,47330,1.402050953253784e+22,100.0,15.003125,9.996875,15.0,29.996875,0.0,3.7841796875,3.80859375,0.01,6.0
2021-10-15 20:27:22,-1,-1,-1,-1,0.6281280517578125,37.81585693359375,26269,5031,4847,10299,12226,17728,58271,19587,12362,35384,51827,47313,1.4065776338292447e+22,100.0,14.996875,10.003125,15.003125,30.0,0.0,3.80859375,3.80859375,0.0,5.99
2021-10-15 20:28:23,-1,-1,-1,-1,0.630645751953125,37.8875732421875,26259,5028,4847,10302,12221,17712,58257,19586,12364,35377,51827,47316,1.4111135467839416e+22,100.0,15.0,9.996875,15.0,30.003125,0.0,3.7841796875,3.7841796875,-0.01,5.99
2021-10-15 20:29:24,-1,-1,-1,-1,0.6432342529296875,37.84637451171875,26268,5031,4847,10306,12224,17710,58283,19592,12366,35393,51847,47323,1.4342871564365486e+22,100.0,15.009375,10.0,15.003125,30.003125,0.0,3.759765625,3.7841796875,-0.01,5.99
2021-10-15 20:30:25,-1,-1,-1,-1,0.640716552734375,37.95166015625,26265,5032,4847,10303,12218,17706,58278,19592,12376,35371,51824,47341,1.429393094721485e+22,100.0,14.996875,10.00625,15.0,29.996875,0.0,3.759765625,3.7841796875,0.0,5.99
2021-10-15 20:31:26,-1,-1,-1,-1,0.6281280517578125,37.87078857421875,26250,5028,4846,10306,12216,17690,58261,19593,12372,35385,51831,47332,1.4066152388861333e+22,100.0,15.0,9.996875,15.003125,30.0,0.0,3.80859375,3.7841796875,0.0,5.99
2021-10-15 20:32:26,-1,-1,-1,-1,0.610504150390625,37.9852294921875,26253,5029,4850,10306,12218,17690,58274,19600,12368,35385,51816,47343,1.3747807567901301e+22,100.0,15.003125,9.99375,15.0,30.0,0.0,3.759765625,3.80859375,0.0,6.0
2021-10-15 20:33:27,-1,-1,-1,-1,0.6381988525390625,37.90740966796875,26247,5032,4848,10306,12216,17693,58271,19586,12365,35383,51819,47311,1.4248147353403002e+22,100.0,15.0,10.003125,15.0,29.996875,0.0,3.7841796875,3.80859375,0.0,5.99
2021-10-15 20:34:28,-1,-1,-1,-1,0.620574951171875,38.0340576171875,26258,5028,4848,10305,12221,17684,58277,19593,12373,35390,51817,47323,1.3928499866250754e+22,100.0,14.99375,10.00625,14.996875,30.0,0.0,3.7841796875,3.80859375,0.0,5.98
2021-10-15 20:35:28,-1,-1,-1,-1,0.6281280517578125,37.93792724609375,26242,5029,4844,10302,12215,17688,58289,19593,12366,35389,51858,47316,1.4066152388861333e+22,100.0,14.996875,10.003125,15.003125,30.003125,0.0,3.7841796875,3.7841796875,0.0,6.0
2021-10-15 20:36:29,-1,-1,-1,-1,0.650787353515625,38.018798828125,26503,5083,4855,10261,12329,18232,58296,19595,12372,35383,51817,47350,1.4480253870998423e+22,100.0,0.0,24.996875,15.00625,30.0,0.0,3.7841796875,3.80859375,-0.01,6.0
