Time,Astep,Atime,PWM,Gain,External Temp,External Humidity,620nm #1,670nm #1,470nm #1,510nm #1,550nm #1,583nm #1,620nm #2,670nm #2,470nm #2,510nm #2,550nm #2,583nm #2,Sub Concentration,Total Concentration,MFC#1,MFC#2,MFC#3,MFC#4,MFC#5,dewpoint #1,dewpoint #2,chamber #1,chamber #2
2021-10-15 19:57:00,-1,-1,-1,-1,0.7993316650390625,37.56866455078125,20325,4170,3553,7872,10291,14555,59367,19755,13205,37754,54232,49733,inf,100.0,0.0,24.99375,15.0,29.996875,0.0,3.7841796875,3.80859375,-0.02,6.0
2021-10-15 19:58:01,-1,-1,-1,-1,0.771636962890625,37.542724609375,20328,4170,3554,7873,10291,14554,59337,19755,13210,37732,54210,49726,inf,100.0,0.0,25.003125,14.996875,30.0,0.0,3.8330078125,3.7841796875,-0.03,5.98
2021-10-15 19:59:02,-1,-1,-1,-1,0.7942962646484375,37.58697509765625,20328,4170,3551,7872,10289,14554,59334,19754,13206,37731,54221,49714,inf,100.0,0.0,25.0,15.0,29.996875,0.0,3.80859375,3.80859375,0.01,5.98
2021-10-15 20:00:02,-1,-1,-1,-1,0.7867431640625,37.5762939453125,20328,4171,3553,7872,10297,14552,59355,19760,13205,37741,54227,49754,inf,100.0,0.0,24.996875,15.003125,30.0,0.0,3.7841796875,3.80859375,0.04,5.99
2021-10-15 20:01:03,-1,-1,-1,-1,0.7791900634765625,37.54119873046875,20331,4170,3556,7873,10294,14552,59382,19756,13208,37747,54238,49738,inf,100.0,0.0,25.0,15.003125,30.0,0.0,3.7841796875,3.7841796875,-0.01,5.99
2021-10-15 20:02:04,-1,-1,-1,-1,0.801849365234375,37.6068115234375,20335,4172,3554,7874,10297,14550,59382,19763,13212,37762,54230,49736,inf,100.0,0.0,24.996875,15.0,29.996875,0.0,3.7353515625,3.7841796875,0.01,5.99
2021-10-15 20:03:05,-1,-1,-1,-1,0.7791900634765625,37.59002685546875,20319,4168,3553,7869,10288,14539,59379,19754,13205,37736,54227,49732,inf,100.0,0.0,25.00625,15.0,30.00625,0.0,3.7353515625,3.7841796875,0.02,5.99
2021-10-15 20:04:06,-1,-1,-1,-1,0.79681396484375,37.6007080078125,20326,4168,3553,7871,10290,14542,59377,19761,13204,37736,54243,49753,inf,100.0,0.0,24.996875,15.0,30.003125,0.0,3.7841796875,3.7841796875,0.05,5.99
2021-10-15 20:05:07,-1,-1,-1,-1,0.7993316650390625,37.59307861328125,20326,4170,3554,7872,10291,14544,59339,19761,13206,37753,54222,49738,inf,100.0,0.0,25.003125,15.0,30.0,0.0,3.8330078125,3.80859375,0.02,6.0
2021-10-15 20:06:08,-1,-1,-1,-1,0.77667236328125,37.744140625,20325,4171,3553,7873,10293,14550,59351,19749,13205,37738,54231,49748,inf,100.0,0.0,24.99375,14.996875,30.003125,0.0,3.759765625,3.7841796875,-0.03,6.0
2021-10-15 20:07:08,-1,-1,-1,-1,0.7741546630859375,37.62664794921875,20329,4171,3554,7874,10296,14548,59355,19759,13206,37763,54236,49729,inf,100.0,0.0,25.003125,15.003125,30.0,0.0,3.7841796875,3.7841796875,0.0,5.98
2021-10-15 20:08:09,-1,-1,-1,-1,0.7867431640625,37.7777099609375,20315,4170,3552,7871,10294,14546,59332,19757,13200,37748,54218,49724,inf,100.0,0.0,25.0,14.996875,30.0,0.0,3.7841796875,3.7841796875,0.01,5.99
2021-10-15 20:09:10,-1,-1,-1,-1,0.7791900634765625,37.65716552734375,20326,4170,3553,7872,10296,14538,59375,19761,13208,37765,54235,49738,inf,100.0,0.0,25.0,15.0,30.003125,0.0,3.857421875,3.7841796875,0.02,6.0
2021-10-15 20:10:11,-1,-1,-1,-1,0.771636962890625,37.7349853515625,20333,4172,3553,7873,10295,14544,59333,19758,13206,37743,54220,49752,inf,100.0,0.0,25.0,14.996875,29.996875,0.0,3.759765625,3.7841796875,0.0,5.99
2021-10-15 20:11:12,-1,-1,-1,-1,0.7892608642578125,37.67852783203125,20322,4168,3555,7870,10293,14538,59346,19750,13208,37760,54228,49745,inf,100.0,0.0,25.0,15.0,30.003125,0.0,3.7841796875,3.80859375,0.0,5.99
2021-10-15 20:12:13,-1,-1,-1,-1,0.77667236328125,37.6953125,20334,4170,3556,7876,10298,14546,59372,19755,13211,37753,54237,49766,inf,100.0,0.0,25.0,15.0,30.0,0.0,3.7841796875,3.7841796875,0.01,5.99
2021-10-15 20:13:14,-1,-1,-1,-1,0.7842254638671875,37.67242431640625,20325,4169,3553,7873,10298,14540,59372,19750,13203,37743,54226,49764,inf,100.0,0.0,25.0,15.0,29.996875,0.0,3.7841796875,3.80859375,-0.01,5.99
2021-10-15 20:14:14,-1,-1,-1,-1,0.7867431640625,37.6739501953125,20328,4168,3551,7871,10295,14546,59365,19754,13208,37736,54225,49738,inf,100.0,0.0,25.0,15.0,30.0,0.0,3.7841796875,3.80859375,-0.01,5.99
2021-10-15 20:15:15,-1,-1,-1,-1,0.7791900634765625,37.73345947265625,20327,4169,3555,7872,10296,14548,59378,19755,13209,37744,54231,49757,inf,100.0,0.0,24.996875,15.003125,30.003125,0.0,3.857421875,3.7841796875,0.0,5.99
2021-10-15 20:16:16,-1,-1,-1,-1,0.77667236328125,39.1265869140625,20028,4082,3542,7904,10140,13816,59351,19753,13212,37748,54233,49726,inf,100.0,15.0,9.996875,15.003125,29.996875,0.0,3.759765625,3.7841796875,0.0,6.0
2021-10-15 20:17:17,-1,-1,-1,-1,0.7842254638671875,38.10272216796875,19859,4065,3536,7908,10083,13492,59331,19751,13206,37745,54215,49732,inf,100.0,15.003125,10.003125,15.003125,30.0,0.0,3.7841796875,3.7841796875,0.0,5.99
